,timestamps,TP9,AF7,AF8,TP10,Right AUX
0,1659217161.47,-0.488,-0.488,-0.488,-0.488,0.0
1,1659217161.474,-0.488,-0.488,-0.488,-0.488,0.0
2,1659217161.478,30.762,30.762,30.762,30.762,0.0
3,1659217161.482,-68.848,-68.848,-68.848,-68.848,0.0
4,1659217161.486,384.766,385.254,385.254,384.766,0.0
5,1659217161.49,-993.652,-992.676,-993.164,-993.164,0.0
6,1659217161.493,963.379,963.867,963.867,963.867,0.0
7,1659217161.497,958.008,958.496,958.496,958.496,0.0
8,1659217161.501,974.609,975.098,979.004,975.098,0.0
9,1659217161.505,971.191,972.168,905.273,972.168,0.0
10,1659217161.509,971.191,971.68,-888.184,972.168,0.0
11,1659217161.513,971.191,972.168,245.117,971.68,0.0
12,1659217161.515,971.191,972.168,-1000.0,972.168,0.0
13,1659217161.519,971.191,972.168,-993.164,972.168,0.0
14,1659217161.523,971.191,910.156,-968.75,971.68,0.0
15,1659217161.527,971.191,-890.137,-1000.0,972.168,0.0
16,1659217161.53,971.191,179.199,-1000.0,972.168,0.0
17,1659217161.534,971.68,-1000.0,-1000.0,972.168,0.0
18,1659217161.538,971.68,-982.422,-1000.0,971.68,0.0
19,1659217161.542,971.68,-974.121,-1000.0,971.68,0.0
20,1659217161.545,971.68,-1000.0,-1000.0,972.168,0.0
21,1659217161.549,971.68,-1000.0,-1000.0,972.168,0.0
22,1659217161.553,971.191,-1000.0,-1000.0,971.68,0.0
23,1659217161.557,971.191,-1000.0,-1000.0,971.68,0.0
24,1659217161.557,971.68,-1000.0,-1000.0,971.68,0.0
25,1659217161.561,971.68,-1000.0,-1000.0,972.168,0.0
26,1659217161.564,971.68,-1000.0,-1000.0,972.168,0.0
27,1659217161.568,971.191,-1000.0,-1000.0,972.168,0.0
28,1659217161.572,971.191,-1000.0,-1000.0,972.168,0.0
29,1659217161.575,971.68,-1000.0,-1000.0,972.168,0.0
30,1659217161.579,971.191,-1000.0,-1000.0,972.168,0.0
31,1659217161.582,971.68,-1000.0,-1000.0,972.168,0.0
32,1659217161.586,971.68,-1000.0,-1000.0,971.68,0.0
33,1659217161.59,971.191,-1000.0,-1000.0,971.68,0.0
34,1659217161.593,971.191,-1000.0,-1000.0,971.68,0.0
35,1659217161.597,971.191,-1000.0,-1000.0,971.68,0.0
36,1659217161.597,971.191,-1000.0,-1000.0,971.68,0.0
37,1659217161.6,971.191,-1000.0,-1000.0,972.168,0.0
38,1659217161.604,971.191,-1000.0,-1000.0,972.168,0.0
39,1659217161.607,971.191,-1000.0,-1000.0,971.68,0.0
40,1659217161.611,971.68,-1000.0,-1000.0,971.68,0.0
41,1659217161.614,971.191,-1000.0,-1000.0,971.68,0.0
42,1659217161.618,971.191,-1000.0,-1000.0,972.168,0.0
43,1659217161.621,971.191,-1000.0,-1000.0,972.168,0.0
44,1659217161.625,971.191,-1000.0,-1000.0,972.168,0.0
45,1659217161.628,971.191,-1000.0,-1000.0,972.168,0.0
46,1659217161.632,971.191,-1000.0,-1000.0,972.168,0.0
47,1659217161.635,971.68,-1000.0,-1000.0,971.68,0.0
48,1659217161.635,971.191,-1000.0,-1000.0,972.168,0.0
49,1659217161.639,971.191,-1000.0,-1000.0,972.168,0.0
50,1659217161.642,971.191,-1000.0,-1000.0,971.68,0.0
51,1659217161.645,971.191,-1000.0,-1000.0,972.168,0.0
52,1659217161.649,971.68,-1000.0,-1000.0,972.168,0.0
53,1659217161.652,971.191,-1000.0,-1000.0,972.168,0.0
54,1659217161.656,971.191,-1000.0,-1000.0,972.168,0.0
55,1659217161.659,971.191,-1000.0,-1000.0,972.168,0.0
56,1659217161.663,971.68,-1000.0,-1000.0,972.168,0.0
57,1659217161.666,971.68,-1000.0,-1000.0,972.168,0.0
58,1659217161.67,971.191,-1000.0,-1000.0,971.68,0.0
59,1659217161.673,971.68,-1000.0,-1000.0,971.68,0.0
60,1659217161.674,971.68,-1000.0,-1000.0,971.68,0.0
61,1659217161.677,971.191,-1000.0,-1000.0,972.168,0.0
62,1659217161.681,971.191,-1000.0,-1000.0,971.68,0.0
63,1659217161.684,971.191,-1000.0,-1000.0,971.68,0.0
64,1659217161.688,971.191,-1000.0,-1000.0,971.68,0.0
65,1659217161.691,971.68,-1000.0,-1000.0,971.68,0.0
66,1659217161.694,971.68,-1000.0,-1000.0,972.168,0.0
67,1659217161.698,971.68,-1000.0,-1000.0,971.68,0.0
68,1659217161.701,971.68,-1000.0,-1000.0,971.68,0.0
69,1659217161.705,971.68,-1000.0,-1000.0,972.168,0.0
70,1659217161.708,971.191,-1000.0,-1000.0,972.168,0.0
71,1659217161.711,971.68,-1000.0,-1000.0,972.168,0.0
72,1659217161.714,0.0,-1000.0,-1000.0,972.168,0.0
73,1659217161.717,0.0,-1000.0,-1000.0,972.168,0.0
74,1659217161.72,0.0,-1000.0,-1000.0,972.168,0.0
75,1659217161.724,0.0,-1000.0,-1000.0,972.168,0.0
76,1659217161.727,0.0,-1000.0,-1000.0,972.168,0.0
77,1659217161.731,0.0,-1000.0,-1000.0,971.68,0.0
78,1659217161.734,0.0,-1000.0,-1000.0,971.68,0.0
79,1659217161.737,0.0,-1000.0,-998.047,972.168,0.0
80,1659217161.741,0.0,-1000.0,-1000.0,971.68,0.0
81,1659217161.744,0.0,-1000.0,-979.98,971.68,0.0
82,1659217161.747,0.0,-1000.0,-908.691,971.68,0.0
83,1659217161.751,0.0,-1000.0,-844.727,971.68,0.0
84,1659217161.754,127.441,-1000.0,-783.691,971.68,0.0
85,1659217161.757,99.121,-1000.0,-729.004,972.168,0.0
86,1659217161.761,45.898,-1000.0,-677.734,972.168,0.0
87,1659217161.764,-16.113,-1000.0,-622.559,971.68,0.0
88,1659217161.767,-29.297,-1000.0,-570.801,971.68,0.0
89,1659217161.771,-20.02,-1000.0,-526.855,971.68,0.0
90,1659217161.774,-37.109,-1000.0,-479.004,971.68,0.0
91,1659217161.778,-110.352,-1000.0,-433.594,971.68,0.0
92,1659217161.781,-125.488,-1000.0,-387.207,971.68,0.0
93,1659217161.784,-69.824,-1000.0,-338.379,971.68,0.0
94,1659217161.788,-41.016,-1000.0,-303.711,972.168,0.0
95,1659217161.791,-63.477,-1000.0,-265.625,971.68,0.0
96,1659217161.796,-100.586,-1000.0,-227.051,971.68,0.0
97,1659217161.799,-91.797,-1000.0,-194.824,971.68,0.0
98,1659217161.802,-61.523,-1000.0,-159.668,972.168,0.0
99,1659217161.806,-84.961,-1000.0,-129.395,971.191,0.0
100,1659217161.809,-125.977,-1000.0,-102.051,971.68,0.0
101,1659217161.813,-137.207,-1000.0,-71.777,969.238,0.0
102,1659217161.816,-116.699,-1000.0,-51.758,940.43,0.0
103,1659217161.819,-115.723,-1000.0,-28.809,898.926,0.0
104,1659217161.823,-164.062,-1000.0,-10.742,860.84,0.0
105,1659217161.826,-178.223,-1000.0,-1.465,839.844,0.0
106,1659217161.829,-140.625,-1000.0,15.625,869.629,0.0
107,1659217161.833,-127.441,-1000.0,31.25,896.973,0.0
108,1659217161.838,-170.41,-1000.0,35.645,858.398,0.0
109,1659217161.841,-194.336,-1000.0,42.969,841.309,0.0
110,1659217161.845,-150.391,-1000.0,61.035,876.953,0.0
111,1659217161.848,-117.676,-1000.0,77.637,907.715,0.0
