,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,0.000,-0.488,0.000,-0.488,0.000,1659355578.351
1,0.000,8.301,-6.836,-0.488,0.000,1659355578.355
2,0.000,-4.883,19.531,37.598,0.000,1659355578.359
3,0.000,-69.824,-100.586,-96.191,0.000,1659355578.362
4,0.000,416.992,293.457,366.699,0.000,1659355578.366
5,0.000,-270.508,-308.105,-910.156,0.000,1659355578.370
6,0.000,-1000.000,-746.094,-184.570,0.000,1659355578.374
7,0.000,144.043,923.340,-1000.000,0.000,1659355578.378
8,0.000,-766.602,633.789,-11.230,0.000,1659355578.382
9,0.000,168.945,-923.340,-772.949,0.000,1659355578.386
10,0.000,-1000.000,-910.156,209.473,0.000,1659355578.389
11,0.000,-256.348,520.020,-1000.000,0.000,1659355578.393
12,-756.836,-801.758,-858.398,-263.184,0.000,1659355578.510
13,210.449,312.012,-104.004,-804.199,0.000,1659355578.513
14,-1000.000,-1000.000,-1000.000,242.188,0.000,1659355578.517
15,-221.191,-502.930,-47.852,-1000.000,0.000,1659355578.520
16,-957.031,939.941,-969.238,-557.617,0.000,1659355578.523
17,221.191,657.715,-69.336,-953.613,0.000,1659355578.527
18,-1000.000,-715.820,-1000.000,675.293,0.000,1659355578.530
19,-543.945,-1000.000,-271.484,-915.527,0.000,1659355578.533
20,977.051,317.871,-826.172,-1000.000,0.000,1659355578.537
21,999.512,-800.293,439.941,401.367,0.000,1659355578.540
22,-458.984,20.508,-1000.000,-819.824,0.000,1659355578.543
23,-1000.000,-1000.000,-442.871,-121.094,0.000,1659355578.547
24,326.660,-207.031,945.801,-1000.000,0.000,1659355578.530
25,-769.043,-804.199,-891.602,-227.539,0.000,1659355578.533
26,169.922,244.629,-210.938,-812.988,0.000,1659355578.536
27,-1000.000,-1000.000,-924.805,235.840,0.000,1659355578.539
28,-264.160,-553.711,604.004,-1000.000,0.000,1659355578.542
29,-797.363,-991.211,-812.012,-268.066,0.000,1659355578.545
30,252.441,657.227,6.348,-806.641,0.000,1659355578.548
31,-1000.000,-845.703,-1000.000,410.156,0.000,1659355578.551
32,-354.004,-1000.000,-145.020,-1000.000,0.000,1659355578.554
33,-886.230,153.809,-807.129,-759.277,0.000,1659355578.557
34,753.906,-900.879,314.453,842.285,0.000,1659355578.560
35,-828.613,-204.102,-1000.000,916.504,0.000,1659355578.563
36,-933.105,-1000.000,-300.293,-604.492,0.000,1659355578.548
37,603.516,-646.973,-847.656,-1000.000,0.000,1659355578.551
38,-833.008,869.141,510.254,111.816,0.000,1659355578.554
39,-114.258,223.145,-1000.000,-791.504,0.000,1659355578.557
40,-1000.000,-1000.000,-724.609,-5.859,0.000,1659355578.559
41,-119.629,-1000.000,751.953,-1000.000,0.000,1659355578.562
42,-784.668,31.250,-872.559,-237.305,0.000,1659355578.565
43,219.727,499.023,-164.551,-815.918,0.000,1659355578.568
44,-1000.000,-930.664,-1000.000,245.117,0.000,1659355578.570
45,-274.414,-1000.000,273.438,-1000.000,0.000,1659355578.573
46,-824.707,-241.699,-816.895,-467.285,0.000,1659355578.576
47,596.191,-846.680,19.043,-888.672,0.000,1659355578.579
48,-1000.000,238.770,-1000.000,544.922,0.000,1659355578.570
49,-775.879,-1000.000,-253.906,-1000.000,0.000,1659355578.573
50,723.633,-461.426,-833.496,-912.598,0.000,1659355578.576
51,-821.289,-989.258,332.520,580.078,0.000,1659355578.578
52,44.922,918.945,-1000.000,-858.398,0.000,1659355578.581
53,-1000.000,-634.277,-422.852,-231.445,0.000,1659355578.583
54,-24.902,-919.922,-934.082,-1000.000,0.000,1659355578.586
55,-798.828,546.387,617.188,-117.188,0.000,1659355578.589
56,696.777,-810.059,-869.629,-792.480,0.000,1659355578.591
57,-910.645,122.070,-840.332,221.680,0.000,1659355578.594
58,-294.434,-1000.000,630.859,-1000.000,0.000,1659355578.597
59,-972.168,-236.328,-894.043,-267.578,0.000,1659355578.599
60,-863.281,-800.293,-107.910,-804.688,0.000,1659355578.594
61,97.656,251.953,-1000.000,341.797,0.000,1659355578.597
62,-875.977,-1000.000,-161.621,-1000.000,0.000,1659355578.599
63,551.270,-469.727,-874.023,-655.762,0.000,1659355578.602
64,-762.695,-904.297,28.809,978.027,0.000,1659355578.604
65,279.297,626.953,-1000.000,779.297,0.000,1659355578.607
66,-1000.000,-919.434,-271.484,-776.367,0.000,1659355578.609
67,-280.273,-1000.000,-887.207,-1000.000,0.000,1659355578.612
68,-858.398,399.414,208.984,223.145,0.000,1659355578.614
69,769.531,-880.371,-1000.000,-806.641,0.000,1659355578.617
70,-721.191,-275.391,-751.953,-116.699,0.000,1659355578.619
71,-1000.000,-1000.000,719.238,-1000.000,0.000,1659355578.622
72,391.113,-198.730,826.660,-227.051,0.000,1659355578.621
73,-794.434,-820.312,-562.012,-818.848,0.000,1659355578.623
74,11.719,226.562,-1000.000,242.188,0.000,1659355578.626
75,-1000.000,-1000.000,334.473,-1000.000,0.000,1659355578.628
76,-242.188,-349.121,661.133,-368.164,0.000,1659355578.631
77,-805.176,-839.355,-687.012,-839.844,0.000,1659355578.633
78,233.398,458.008,-1000.000,434.082,0.000,1659355578.636
79,-1000.000,-1000.000,-281.738,-1000.000,0.000,1659355578.638
80,-270.508,-687.988,910.645,-911.133,0.000,1659355578.641
81,-825.684,842.285,-134.766,605.469,0.000,1659355578.643
82,606.445,-937.500,-1000.000,-946.777,0.000,1659355578.646
83,-986.328,-371.582,-820.312,-424.316,0.000,1659355578.648
84,-855.469,-1000.000,428.223,-1000.000,0.000,1659355578.649
85,691.406,203.125,-77.148,-1.953,0.000,1659355578.652
86,-869.629,-763.672,-1000.000,-787.109,0.000,1659355578.654
87,-240.234,154.297,-1000.000,107.910,0.000,1659355578.657
88,-1000.000,-1000.000,-238.770,-1000.000,0.000,1659355578.659
89,-14.648,-246.094,-117.676,-248.535,0.000,1659355578.662
90,-773.438,-796.387,-1000.000,-812.012,0.000,1659355578.664
91,208.496,272.949,-1000.000,244.629,0.000,1659355578.667
92,-1000.000,-1000.000,-813.477,-1000.000,0.000,1659355578.669
93,-275.391,-422.852,-749.023,-560.059,0.000,1659355578.672
94,-765.625,-894.531,-1000.000,-940.918,0.000,1659355578.674
95,289.551,687.500,-1000.000,624.512,0.000,1659355578.677
96,-1000.000,-945.312,-987.305,-920.898,0.000,1659355578.680
97,92.773,-806.152,-991.699,-1000.000,0.000,1659355578.683
98,-766.113,710.449,-1000.000,218.262,0.000,1659355578.685
99,764.648,-799.316,-1000.000,-810.547,0.000,1659355578.688
100,-46.387,-191.895,-1000.000,-126.465,0.000,1659355578.690
101,686.035,-576.172,-1000.000,-1000.000,0.000,1659355578.693
102,-916.504,829.590,-1000.000,-226.562,0.000,1659355578.695
103,-969.238,-780.762,-1000.000,-813.965,0.000,1659355578.698
104,104.492,7.812,-1000.000,235.840,0.000,1659355578.700
105,205.566,-209.961,-997.559,-1000.000,0.000,1659355578.703
106,-931.641,991.699,-994.629,-264.648,0.000,1659355578.705
107,-872.070,-825.195,-1000.000,-802.246,0.000,1659355578.708
108,51.270,293.457,-1000.000,321.289,0.000,1659355578.713
109,-274.902,-296.387,-1000.000,-1000.000,0.000,1659355578.716
110,984.375,938.965,-1000.000,-866.699,0.000,1659355578.718
111,-895.020,995.605,-1000.000,538.086,0.000,1659355578.721
112,496.094,-994.141,-1000.000,-812.988,0.000,1659355578.723
113,-847.168,-10.742,-1000.000,-18.555,0.000,1659355578.726
114,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.728
115,-839.355,-481.445,-1000.000,-237.793,0.000,1659355578.731
116,42.480,-928.223,-1000.000,-819.336,0.000,1659355578.733
117,-635.742,209.473,-1000.000,226.562,0.000,1659355578.736
118,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.739
119,-931.152,-1000.000,-1000.000,-901.367,0.000,1659355578.741
120,-1000.000,283.691,-1000.000,712.402,0.000,1659355578.748
121,-1000.000,312.500,-1000.000,290.527,0.000,1659355578.751
122,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.753
123,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.756
124,-1000.000,-55.176,-1000.000,-52.734,0.000,1659355578.758
125,-1000.000,358.398,-1000.000,244.629,0.000,1659355578.761
126,-1000.000,-1000.000,-1000.000,-999.023,0.000,1659355578.763
127,-1000.000,-1000.000,-1000.000,-1000.000,0.000,1659355578.766
128,-1000.000,-958.008,-1000.000,-261.719,0.000,1659355578.768
