,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,0.000,0.000,0.000,-0.488,0.000,1659356054.619
1,0.000,0.000,-0.488,0.000,0.000,1659356054.623
2,-1.953,-2.441,-0.977,0.000,0.000,1659356054.627
3,2.930,4.883,-0.488,-1.465,0.000,1659356054.630
4,-18.066,-26.855,-7.812,4.883,0.000,1659356054.634
5,-53.711,-69.824,-46.875,13.184,0.000,1659356054.638
6,-57.617,-59.570,-72.266,10.254,0.000,1659356054.642
7,-50.781,-56.152,-65.430,9.766,0.000,1659356054.646
8,-51.758,-56.152,-63.965,8.301,0.000,1659356054.650
9,-59.082,-52.734,-64.453,2.441,0.000,1659356054.654
10,-62.988,-57.129,-67.871,-6.348,0.000,1659356054.657
11,-58.105,-59.082,-67.871,-1.465,0.000,1659356054.661
12,-50.293,-54.688,-68.359,9.277,0.000,1659356054.664
13,-55.176,-55.176,-67.383,12.207,0.000,1659356054.668
14,-58.105,-57.129,-61.035,14.160,0.000,1659356054.672
15,-54.688,-56.152,-62.500,7.812,0.000,1659356054.675
16,-53.223,-58.594,-67.383,2.930,0.000,1659356054.679
17,-49.805,-62.500,-64.453,4.395,0.000,1659356054.683
18,-63.965,-67.871,-65.918,-2.930,0.000,1659356054.687
19,-69.824,-72.754,-70.801,-2.441,0.000,1659356054.690
20,-56.641,-68.848,-75.195,4.395,0.000,1659356054.694
21,-59.082,-65.918,-77.148,0.488,0.000,1659356054.698
22,-72.754,-71.289,-81.055,-6.836,0.000,1659356054.702
23,-70.312,-72.754,-82.031,-8.301,0.000,1659356054.705
24,-56.152,-67.383,-73.242,2.441,0.000,1659356054.706
25,-51.758,-64.941,-69.824,5.371,0.000,1659356054.710
26,-49.316,-67.383,-69.336,0.000,0.000,1659356054.714
27,-40.527,-61.523,-68.848,4.883,0.000,1659356054.717
28,-36.133,-57.617,-69.824,7.812,0.000,1659356054.721
29,-39.551,-62.500,-68.359,9.766,0.000,1659356054.725
30,-49.805,-70.801,-67.871,5.859,0.000,1659356054.728
31,-55.176,-71.777,-68.848,5.859,0.000,1659356054.732
32,-43.457,-59.570,-68.848,10.742,0.000,1659356054.736
33,-35.645,-57.129,-65.430,15.625,0.000,1659356054.739
34,-40.039,-61.523,-60.059,16.113,0.000,1659356054.743
35,-43.945,-59.570,-58.594,13.184,0.000,1659356054.746
36,-41.016,-59.570,-62.012,14.160,0.000,1659356054.746
37,-33.203,-58.594,-57.129,15.625,0.000,1659356054.750
38,-41.992,-60.059,-55.664,17.090,0.000,1659356054.753
39,-51.270,-67.383,-62.012,20.508,0.000,1659356054.757
40,-40.527,-67.383,-55.176,15.625,0.000,1659356054.760
41,-33.203,-62.988,-49.316,8.301,0.000,1659356054.764
42,-32.715,-66.406,-47.852,16.602,0.000,1659356054.767
43,-32.715,-63.477,-44.922,22.461,0.000,1659356054.771
44,-32.227,-52.246,-48.828,12.695,0.000,1659356054.774
45,-23.438,-51.270,-51.758,12.207,0.000,1659356054.778
46,-23.926,-56.152,-49.805,9.277,0.000,1659356054.782
47,-40.039,-59.570,-54.688,-6.836,0.000,1659356054.785
48,-41.992,-59.570,-53.711,-6.836,0.000,1659356054.785
49,-32.227,-61.523,-52.734,5.371,0.000,1659356054.788
50,-31.250,-65.918,-55.664,2.930,0.000,1659356054.792
51,-40.039,-68.848,-59.082,-1.465,0.000,1659356054.795
52,-36.621,-66.895,-58.105,-1.953,0.000,1659356054.799
53,-28.809,-66.895,-50.781,3.906,0.000,1659356054.802
54,-37.109,-78.125,-52.246,14.648,0.000,1659356054.806
55,-42.480,-77.637,-58.594,6.836,0.000,1659356054.809
56,-41.992,-70.312,-62.500,-4.395,0.000,1659356054.813
57,-40.039,-74.219,-64.453,-0.488,0.000,1659356054.816
58,-38.086,-73.242,-68.359,11.230,0.000,1659356054.820
59,-42.480,-70.312,-68.359,11.230,0.000,1659356054.823
60,-46.387,-71.289,-63.965,2.441,0.000,1659356054.825
61,-38.086,-70.312,-59.570,12.207,0.000,1659356054.828
62,-30.762,-68.848,-60.547,21.484,0.000,1659356054.832
63,-26.855,-66.895,-62.500,25.391,0.000,1659356054.835
64,-24.414,-64.941,-61.523,19.531,0.000,1659356054.838
65,-29.297,-67.383,-58.105,16.113,0.000,1659356054.842
66,-24.902,-62.988,-58.105,20.020,0.000,1659356054.845
67,-17.090,-56.152,-62.500,12.695,0.000,1659356054.849
68,-20.020,-61.035,-66.406,15.137,0.000,1659356054.852
69,-28.809,-65.430,-68.359,12.207,0.000,1659356054.856
70,-37.109,-62.500,-75.684,3.906,0.000,1659356054.859
71,-37.109,-61.035,-73.730,8.789,0.000,1659356054.862
72,-35.156,-66.406,-70.312,11.719,0.000,1659356054.866
73,-35.645,-65.430,-71.289,14.160,0.000,1659356054.869
74,-25.879,-57.617,-65.918,15.625,0.000,1659356054.873
75,-17.090,-57.129,-65.430,11.230,0.000,1659356054.876
76,-21.484,-58.594,-66.406,4.883,0.000,1659356054.880
77,-31.738,-61.523,-64.453,-1.465,0.000,1659356054.883
78,-27.344,-64.941,-65.430,3.418,0.000,1659356054.887
79,-15.625,-63.477,-63.477,0.000,0.000,1659356054.890
