,TP9,AF7,AF8,TP10,Right AUX,timestamps
0,0.000,0.000,0.000,0.000,0.000,1659355776.141
1,0.000,0.000,-0.488,-0.488,0.000,1659355776.145
2,-0.977,-1.465,0.488,-0.488,0.000,1659355776.149
3,0.488,1.953,-4.395,0.488,0.000,1659355776.152
4,-2.930,-11.719,8.789,-6.836,0.000,1659355776.156
5,-24.902,-36.133,-12.695,-21.484,0.000,1659355776.160
6,-32.715,-34.668,-59.082,-21.484,0.000,1659355776.164
7,-20.508,-31.250,-45.898,-13.184,0.000,1659355776.168
8,-6.836,-27.344,-39.551,-6.836,0.000,1659355776.172
9,-20.996,-26.855,-36.621,-20.996,0.000,1659355776.176
10,-38.086,-35.156,-32.227,-35.645,0.000,1659355776.180
11,-22.949,-34.180,-38.086,-24.414,0.000,1659355776.183
12,-22.949,-30.762,-38.574,-14.648,0.000,1659355776.186
13,-38.574,-29.785,-37.598,-21.973,0.000,1659355776.190
14,-38.086,-30.273,-35.156,-32.227,0.000,1659355776.194
15,-39.551,-31.250,-30.273,-27.344,0.000,1659355776.197
16,-38.086,-32.715,-27.832,-20.996,0.000,1659355776.201
17,-38.086,-36.133,-29.297,-14.648,0.000,1659355776.205
18,-42.480,-33.691,-28.809,-17.578,0.000,1659355776.209
19,-32.715,-35.645,-28.809,-4.883,0.000,1659355776.213
20,-33.203,-33.691,-25.391,-0.977,0.000,1659355776.216
21,-30.273,-33.203,-24.902,-11.230,0.000,1659355776.220
22,-20.508,-37.109,-24.902,-10.742,0.000,1659355776.224
23,-28.320,-36.621,-27.344,-22.461,0.000,1659355776.228
24,-26.367,-31.738,-33.691,-30.762,0.000,1659355776.229
25,-18.555,-24.902,-32.715,-10.254,0.000,1659355776.232
26,-30.273,-34.180,-32.227,-18.066,0.000,1659355776.236
27,-36.133,-41.992,-36.133,-30.273,0.000,1659355776.240
28,-28.809,-41.016,-35.156,-21.484,0.000,1659355776.243
29,-22.461,-38.086,-31.250,-14.648,0.000,1659355776.247
30,-20.508,-45.898,-27.832,-16.113,0.000,1659355776.250
